,jaar,maand,merk,aantal,cum aantal,datum
468,1967,1,RENAULT,1,217,1967-01-01
469,1967,1,VOLKSWAGEN,28,1550,1967-01-01
470,1967,1,VOLVO,58,1368,1967-01-01
471,1967,2,VOLKSWAGEN,32,1582,1967-02-01
472,1967,2,VOLVO,52,1420,1967-02-01
473,1967,3,BMW,3,95,1967-03-01
474,1967,3,RENAULT,3,220,1967-03-01
475,1967,3,VOLKSWAGEN,69,1651,1967-03-01
476,1967,3,VOLVO,71,1491,1967-03-01
477,1967,4,BMW,3,98,1967-04-01
478,1967,4,RENAULT,2,222,1967-04-01
479,1967,4,VOLKSWAGEN,56,1707,1967-04-01
480,1967,4,VOLVO,46,1537,1967-04-01
481,1967,5,BMW,2,100,1967-05-01
482,1967,5,RENAULT,4,226,1967-05-01
483,1967,5,TOYOTA,1,21,1967-05-01
484,1967,5,VOLKSWAGEN,66,1773,1967-05-01
485,1967,5,VOLVO,56,1593,1967-05-01
486,1967,6,BMW,4,104,1967-06-01
487,1967,6,RENAULT,4,230,1967-06-01
488,1967,6,TOYOTA,1,22,1967-06-01
489,1967,6,VOLKSWAGEN,79,1852,1967-06-01
490,1967,6,VOLVO,46,1639,1967-06-01
491,1967,7,BMW,2,106,1967-07-01
492,1967,7,RENAULT,3,233,1967-07-01
493,1967,7,TOYOTA,1,23,1967-07-01
494,1967,7,VOLKSWAGEN,40,1892,1967-07-01
495,1967,7,VOLVO,26,1665,1967-07-01
496,1967,8,BMW,3,109,1967-08-01
497,1967,8,RENAULT,2,235,1967-08-01
498,1967,8,TOYOTA,1,24,1967-08-01
499,1967,8,VOLKSWAGEN,30,1922,1967-08-01
500,1967,8,VOLVO,33,1698,1967-08-01
501,1967,9,RENAULT,3,238,1967-09-01
502,1967,9,TOYOTA,2,26,1967-09-01
503,1967,9,VOLKSWAGEN,46,1968,1967-09-01
504,1967,9,VOLVO,41,1739,1967-09-01
505,1967,10,RENAULT,1,239,1967-10-01
506,1967,10,TOYOTA,1,27,1967-10-01
507,1967,10,VOLKSWAGEN,47,2015,1967-10-01
508,1967,10,VOLVO,39,1778,1967-10-01
509,1967,11,RENAULT,2,241,1967-11-01
510,1967,11,VOLKSWAGEN,46,2061,1967-11-01
